transaction_id,items
62,"Bread, Biscuits, Cheese, Butter, Chips"
63,"Bread, Milk, Biscuits, Eggs, Butter, Beer"
64,"Biscuits, Milk, Diapers"
65,"Beer, Bread, Biscuits, Butter"
66,"Milk, Diapers, Butter"
67,"Milk, Cheese"
68,"Bread, Biscuits, Butter, Cheese, Chips, Beer"
69,Jam
70,"Chips, Eggs"
71,"Chips, Eggs, Butter"
72,"Bread, Chips, Eggs, Butter"
73,"Bread, Milk, Biscuits, Eggs, Butter"
74,"Bread, Jam, Butter"
75,Butter
76,"Beer, Diapers, Cheese"
77,"Milk, Eggs, Beer"
78,"Cheese, Bread, Jam, Butter"
79,"Bread, Milk, Biscuits, Cheese, Beer"
80,"Chips, Eggs, Cheese"
81,"Biscuits, Chips, Butter"
82,"Milk, Jam, Cheese"
83,"Bread, Cheese, Biscuits, Eggs, Butter, Diapers, Beer"
84,"Biscuits, Milk, Chips"
85,"Bread, Eggs, Butter"
86,"Bread, Chips, Butter"
87,"Milk, Chips"
88,"Diapers, Milk, Eggs, Jam"
89,"Biscuits, Milk, Eggs, Butter"
90,"Cheese, Diapers, Biscuits, Beer"
91,"Biscuits, Bread, Milk, Butter"
92,"Bread, Cheese, Eggs, Butter, Chips"
93,"Biscuits, Eggs"
94,"Diapers, Butter"
95,"Biscuits, Milk, Jam, Butter"
96,"Eggs, Jam"
97,"Cheese, Milk, Jam, Butter"
98,"Biscuits, Butter"
99,"Bread, Eggs, Butter"
100,"Biscuits, Bread, Butter"
101,"Bread, Milk, Biscuits, Eggs, Butter, Diapers"
102,"Bread, Butter"
103,"Milk, Chips, Eggs"
104,"Biscuits, Milk, Cheese"
105,"Bread, Diapers, Cheese"
106,"Biscuits, Chips, Eggs"
107,"Beer, Diapers, Butter"
108,Diapers
109,"Bread, Chips, Milk, Beer"
110,"Eggs, Butter"
111,"Bread, Butter, Cheese"
112,"Bread, Eggs, Jam"
113,"Biscuits, Bread, Milk, Eggs"
114,"Biscuits, Bread, Eggs, Jam"
115,"Bread, Eggs, Butter"
116,"Cheese, Bread, Milk, Butter"
117,"Biscuits, Milk, Diapers, Beer"
118,"Diapers, Eggs, Beer"
119,"Bread, Chips, Butter"
120,"Bread, Eggs, Butter, Cheese"
121,"Bread, Milk, Biscuits, Eggs, Butter, Diapers, Chips"
122,"Milk, Butter"
123,"Biscuits, Butter"
124,"Cheese, Bread, Eggs, Butter"
125,"Biscuits, Chips, Eggs"
126,"Biscuits, Bread"
127,"Diapers, Beer"
128,"Biscuits, Milk, Cheese"
129,"Chips, Eggs"
130,"Beer, Milk, Biscuits, Butter"
131,"Biscuits, Bread, Chips, Butter"
132,"Biscuits, Chips, Cheese"
133,"Bread, Milk, Biscuits, Butter, Diapers"
134,"Biscuits, Butter"
135,"Bread, Milk, Jam, Butter"
136,"Chips, Butter"
137,"Biscuits, Eggs, Jam"
138,Butter
139,"Cheese, Beer"
140,"Bread, Cheese"
141,"Eggs, Beer"
142,"Chips, Jam, Cheese"
143,"Milk, Jam, Butter"
144,"Biscuits, Bread, Chips, Milk"
145,"Bread, Milk, Butter"
146,Diapers
147,"Cheese, Bread, Milk, Butter"
148,"Bread, Milk, Biscuits, Butter, Diapers, Beer"
149,"Biscuits, Eggs"
150,"Bread, Milk, Biscuits, Butter, Cheese, Diapers, Beer"
151,"Milk, Butter"
152,"Biscuits, Jam"
153,"Milk, Butter"
154,"Biscuits, Bread, Eggs"
155,"Bread, Chips, Diapers, Beer"
156,"Bread, Chips, Butter"
157,"Biscuits, Cheese"
158,"Beer, Butter"
159,"Milk, Jam, Butter, Cheese, Diapers, Chips, Beer"
160,"Cheese, Beer"
161,"Bread, Biscuits, Jam, Butter, Diapers, Beer"
162,"Bread, Milk, Butter"
163,"Beer, Bread, Diapers, Butter"
164,"Cheese, Diapers, Eggs, Butter"
165,"Chips, Eggs, Jam"
166,"Milk, Butter"
167,"Diapers, Eggs"
168,"Cheese, Milk, Chips, Butter"
169,"Bread, Eggs, Butter"
170,"Beer, Bread, Jam, Butter"
171,"Cheese, Bread, Eggs, Butter"
172,"Biscuits, Jam"
173,"Bread, Jam, Butter, Cheese"
174,Eggs
175,"Cheese, Beer, Butter"
176,"Bread, Eggs"
177,"Diapers, Chips, Eggs"
178,"Bread, Chips, Diapers, Butter"
179,"Bread, Milk, Diapers"
180,"Diapers, Chips, Beer"
181,"Beer, Diapers, Butter"
182,"Bread, Chips, Butter"
183,"Bread, Butter"
184,"Biscuits, Bread, Chips"
185,"Bread, Chips, Eggs, Butter"
186,"Chips, Eggs, Butter"
187,"Bread, Diapers, Butter, Beer"
188,"Milk, Chips, Jam, Beer"
189,"Bread, Chips, Milk, Butter"
190,"Diapers, Eggs, Beer"
191,"Bread, Biscuits, Jam, Eggs, Butter"
192,"Diapers, Butter"
193,"Cheese, Beer, Biscuits, Butter"
194,"Bread, Milk, Cheese"
195,"Bread, Jam, Butter"
196,"Milk, Butter"
197,"Biscuits, Butter"
198,"Cheese, Bread, Diapers, Butter"
199,"Bread, Chips, Diapers, Cheese"
200,"Milk, Butter"
201,"Biscuits, Bread, Butter"
202,"Bread, Butter"
203,"Bread, Biscuits, Cheese, Diapers, Beer"
204,"Milk, Eggs, Butter"
205,"Beer, Butter"
206,"Diapers, Bread, Eggs"
207,"Chips, Butter"
208,"Milk, Eggs, Butter"
209,"Bread, Butter, Cheese"
210,"Diapers, Chips, Cheese"
211,Beer
212,"Bread, Cheese"
213,"Biscuits, Beer"
214,"Bread, Chips, Milk, Butter"
215,"Bread, Milk, Eggs, Butter"
216,"Bread, Milk, Biscuits, Eggs, Butter"
217,"Bread, Butter"
218,"Jam, Milk, Eggs, Butter"
219,"Bread, Milk, Diapers, Beer"
220,"Cheese, Biscuits, Beer"
221,"Jam, Bread, Eggs, Beer"
222,Biscuits
223,"Milk, Butter"
224,"Bread, Jam, Eggs, Butter, Beer"
225,"Biscuits, Bread, Butter"
226,"Bread, Milk, Butter, Cheese, Diapers, Chips, Beer"
227,"Milk, Butter"
228,"Beer, Bread, Diapers, Butter"
229,"Bread, Chips, Milk, Butter"
230,"Biscuits, Cheese"
231,"Chips, Eggs"
232,"Bread, Eggs, Beer"
233,"Bread, Eggs, Butter"
234,"Chips, Beer"
235,"Bread, Jam"
236,"Cheese, Bread, Butter"
237,"Beer, Bread, Butter"
238,"Milk, Chips, Jam, Butter"
239,"Beer, Biscuits, Butter"
240,"Bread, Milk, Eggs, Butter"
241,"Bread, Jam"
242,"Biscuits, Milk, Butter"
243,"Milk, Biscuits, Jam, Butter, Diapers, Beer"
244,"Bread, Milk, Biscuits, Butter, Beer"
245,"Biscuits, Bread"
246,"Diapers, Beer"
247,"Beer, Eggs, Butter"
248,"Biscuits, Milk, Diapers, Butter"
249,"Eggs, Jam"
250,"Milk, Chips, Cheese"
251,"Bread, Milk, Jam, Eggs, Beer"
252,"Chips, Butter"
253,"Cheese, Beer, Eggs, Butter"
254,"Milk, Chips, Butter"
255,"Cheese, Milk, Beer"
256,"Chips, Butter"
257,"Jam, Bread, Eggs, Butter"
258,"Bread, Milk, Biscuits, Butter, Cheese, Chips"
259,"Cheese, Bread, Butter"
260,"Milk, Eggs, Jam"
261,"Biscuits, Milk, Butter"
262,"Bread, Eggs"
263,"Chips, Eggs"
264,"Milk, Eggs"
265,"Diapers, Eggs, Cheese"
266,"Milk, Butter"
267,"Milk, Chips, Butter"
268,"Bread, Milk, Eggs, Butter"
269,Butter
270,"Bread, Milk, Eggs, Jam, Cheese, Butter"
271,Milk
272,"Bread, Biscuits, Eggs, Butter, Cheese, Diapers, Beer"
273,"Bread, Butter"
274,"Milk, Eggs"
275,"Biscuits, Diapers, Chips, Butter"
276,"Bread, Milk"
277,"Beer, Cheese"
278,"Biscuits, Chips"
279,"Diapers, Eggs"
280,"Chips, Eggs"
281,"Bread, Milk, Eggs"
282,"Diapers, Eggs, Beer"
283,"Chips, Eggs"
284,"Biscuits, Diapers, Beer, Cheese"
285,"Beer, Milk, Butter"
286,"Bread, Milk, Eggs, Butter"
287,"Bread, Milk, Eggs, Butter, Chips"
288,"Biscuits, Milk, Chips"
289,"Milk, Chips"
290,"Bread, Milk, Biscuits, Butter, Chips"
291,"Bread, Cheese"
292,"Bread, Milk, Biscuits, Eggs, Jam, Cheese, Butter, Chips"
293,"Bread, Beer"
294,"Jam, Butter"
295,"Beer, Diapers, Butter"
296,"Bread, Milk, Butter, Cheese"
297,"Biscuits, Chips, Eggs, Cheese"
298,"Bread, Beer"
299,"Bread, Jam"
300,"Beer, Butter"
301,"Milk, Biscuits, Cheese, Chips, Beer"
302,"Bread, Biscuits, Jam, Butter, Cheese, Diapers, Beer"
303,"Bread, Milk, Cheese, Diapers, Beer"
304,"Bread, Diapers, Butter"
305,"Cheese, Bread, Eggs, Butter"
306,"Cheese, Butter"
307,"Jam, Cheese"
308,"Jam, Butter"
309,"Milk, Butter"
310,"Biscuits, Bread, Milk, Butter"
311,"Eggs, Jam"
312,"Milk, Chips, Cheese"
313,"Biscuits, Chips"
314,"Biscuits, Milk, Eggs, Butter"
315,"Bread, Milk"
316,"Bread, Eggs, Butter"
317,"Bread, Milk, Biscuits, Butter, Cheese, Beer"
318,"Beer, Bread, Diapers, Butter"
319,"Biscuits, Bread, Milk, Butter"
320,"Cheese, Bread, Chips, Butter"
321,"Milk, Butter"
322,"Milk, Cheese"
323,"Bread, Cheese"
324,"Bread, Chips, Eggs"
325,"Bread, Jam, Beer"
326,Beer
327,"Milk, Eggs, Beer"
328,"Bread, Chips, Milk"
329,"Milk, Beer"
330,"Bread, Milk, Biscuits, Eggs, Cheese, Chips"
331,"Biscuits, Milk, Chips, Cheese"
332,"Bread, Milk, Biscuits, Eggs, Butter, Chips, Beer"
333,"Bread, Milk, Jam, Butter"
334,"Milk, Butter"
335,"Cheese, Butter"
336,"Biscuits, Milk"
337,"Bread, Eggs, Cheese"
338,"Bread, Milk, Eggs"
339,"Bread, Milk, Butter, Diapers, Chips, Beer"
340,"Milk, Chips, Eggs, Butter"
341,"Cheese, Bread, Diapers, Butter"
342,"Biscuits, Bread, Chips, Butter"
343,"Bread, Jam, Cheese"
344,"Bread, Milk, Biscuits, Jam, Butter, Diapers"
345,"Biscuits, Bread, Eggs, Butter"
346,"Biscuits, Milk, Beer"
347,Chips
348,"Biscuits, Bread, Butter, Cheese"
349,"Milk, Biscuits, Jam, Eggs, Cheese, Beer"
350,"Milk, Diapers"
351,"Milk, Eggs, Butter"
352,"Bread, Milk, Eggs, Diapers, Chips, Beer"
353,"Beer, Diapers, Butter"
354,"Butter, Cheese"
355,"Biscuits, Bread, Milk, Jam"
356,"Eggs, Butter"
357,"Bread, Milk, Eggs, Butter"
358,"Milk, Chips, Cheese"
359,"Milk, Eggs"
360,"Bread, Diapers, Cheese"
361,"Bread, Eggs, Jam"
362,"Biscuits, Milk, Diapers, Beer"
363,"Beer, Bread, Milk, Butter"
364,"Diapers, Butter"
365,"Bread, Milk, Butter"
366,"Milk, Chips, Jam"
367,"Biscuits, Milk"
368,"Cheese, Beer, Biscuits, Butter"
369,"Bread, Milk, Butter, Diapers, Chips, Beer"
370,"Diapers, Milk, Eggs, Cheese"
371,"Bread, Eggs, Butter, Cheese, Beer"
372,Milk
373,"Bread, Chips, Butter"
374,"Beer, Diapers, Eggs, Butter"
375,"Biscuits, Milk, Diapers, Beer"
376,"Bread, Eggs, Butter"
377,"Biscuits, Beer"
378,"Bread, Eggs, Butter"
379,"Milk, Cheese"
380,"Diapers, Chips, Eggs, Beer"
381,"Eggs, Butter"
382,"Milk, Cheese"
383,"Beer, Bread, Eggs, Butter"
384,"Milk, Eggs, Butter, Diapers, Chips"
385,"Cheese, Jam, Butter"
386,"Diapers, Eggs"
387,"Milk, Chips, Eggs, Butter"
388,"Bread, Milk, Biscuits, Butter, Diapers, Beer"
389,"Jam, Eggs, Butter"
390,"Chips, Eggs, Cheese"
391,"Bread, Butter"
392,"Bread, Milk, Diapers, Jam"
393,"Biscuits, Milk, Diapers, Beer"
394,"Cheese, Beer, Jam, Butter"
395,"Bread, Milk"
396,Eggs
397,"Bread, Eggs, Butter"
398,"Jam, Biscuits, Eggs, Butter"
399,"Milk, Beer"
400,"Bread, Eggs, Cheese"
401,"Bread, Milk, Cheese, Eggs, Butter, Diapers, Beer"
402,"Bread, Milk, Biscuits, Butter, Chips"
403,"Jam, Butter"
404,"Milk, Chips, Butter"
405,"Biscuits, Cheese"
406,"Jam, Eggs, Butter"
407,"Bread, Eggs"
408,"Biscuits, Milk"
409,"Bread, Biscuits, Jam, Butter, Chips"
410,"Cheese, Bread, Biscuits, Butter"
411,"Cheese, Chips, Jam, Beer"
412,"Cheese, Beer, Chips, Butter"
413,"Biscuits, Bread, Chips, Beer"
414,"Diapers, Cheese"
415,"Bread, Milk, Eggs, Butter, Diapers, Beer"
416,"Bread, Milk, Butter"
417,"Chips, Butter"
418,"Biscuits, Bread, Jam, Butter"
419,Bread
420,"Cheese, Butter"
421,"Biscuits, Chips, Butter"
422,"Bread, Milk, Diapers, Chips, Beer"
423,"Cheese, Chips, Butter"
424,"Biscuits, Chips"
425,"Bread, Biscuits, Butter, Cheese, Chips"
426,"Biscuits, Bread, Diapers, Butter"
427,"Biscuits, Bread, Butter"
428,"Cheese, Milk, Eggs, Butter"
429,"Bread, Eggs"
430,"Bread, Butter"
431,"Bread, Milk, Eggs, Butter"
432,"Milk, Beer"
433,"Bread, Diapers, Beer"
434,"Beer, Bread, Diapers, Butter"
435,"Cheese, Chips, Butter"
436,"Milk, Diapers, Beer"
437,"Milk, Bread, Butter"
438,"Bread, Eggs, Cheese"
439,"Bread, Eggs, Butter"
440,"Eggs, Beer"
441,Butter
442,"Biscuits, Chips, Beer"
443,"Biscuits, Milk, Diapers, Beer"
444,"Bread, Biscuits, Butter, Cheese, Diapers, Chips, Beer"
445,"Cheese, Butter"
446,"Bread, Chips, Butter"
447,"Bread, Biscuits, Eggs, Jam, Butter"
448,"Biscuits, Bread, Eggs"
449,"Bread, Milk, Biscuits, Eggs, Jam, Butter, Diapers, Chips, Beer"
450,"Chips, Eggs"
451,Beer
452,"Biscuits, Milk, Butter"
453,"Biscuits, Diapers, Beer, Butter"
454,"Bread, Eggs, Butter, Diapers, Beer"
455,"Bread, Butter, Beer"
456,"Milk, Diapers, Beer"
457,"Beer, Diapers, Biscuits, Butter"
458,"Bread, Milk, Jam, Butter, Chips, Beer"
459,"Beer, Diapers, Butter"
460,"Eggs, Butter"
461,"Milk, Eggs"
462,"Milk, Diapers"
463,"Bread, Chips"
464,"Beer, Diapers, Cheese"
465,"Biscuits, Bread, Butter"
466,"Bread, Milk, Biscuits, Eggs, Butter"
467,"Biscuits, Cheese"
468,"Bread, Chips, Milk"
469,"Bread, Chips, Eggs, Cheese"
470,Chips
471,"Beer, Bread, Butter"
472,Eggs
473,"Bread, Milk, Eggs"
474,"Diapers, Chips"
475,"Biscuits, Chips, Butter"
476,"Biscuits, Eggs, Butter, Cheese, Chips, Beer"
477,"Cheese, Eggs, Butter"
478,"Beer, Milk, Butter"
479,Eggs
480,"Bread, Butter"
481,"Bread, Chips, Diapers, Beer"
482,"Diapers, Chips, Beer"
483,"Bread, Milk, Butter, Chips, Beer"
484,"Beer, Bread, Jam, Butter"
485,"Diapers, Cheese"
486,"Bread, Chips, Butter"
487,"Biscuits, Bread"
488,"Bread, Milk, Butter, Cheese, Chips"
489,"Bread, Milk"
490,"Bread, Eggs, Beer"
491,"Biscuits, Cheese"
492,"Biscuits, Eggs"
493,"Eggs, Cheese"
494,"Milk, Chips, Eggs, Butter"
495,"Milk, Biscuits, Cheese, Diapers, Chips"
496,"Beer, Bread, Diapers, Jam"
497,"Biscuits, Bread, Milk"
498,"Bread, Milk, Biscuits, Eggs, Jam, Butter, Chips"
499,"Milk, Butter"
500,"Bread, Milk, Diapers, Cheese"
501,"Beer, Butter"
502,"Bread, Chips, Butter"
503,"Bread, Butter, Cheese"
504,"Bread, Cheese"
505,"Biscuits, Eggs"
506,"Biscuits, Bread, Butter"
507,"Bread, Cheese"
508,"Cheese, Beer, Butter"
509,"Bread, Biscuits, Eggs, Jam, Butter, Chips"
510,"Milk, Chips, Eggs"
511,"Bread, Beer"
512,"Milk, Diapers, Jam"
513,"Bread, Eggs, Cheese"
514,"Bread, Milk"
515,"Bread, Milk, Biscuits, Butter, Diapers"
516,"Beer, Butter"
517,"Diapers, Chips, Eggs"
518,"Jam, Bread, Eggs, Butter"
519,"Bread, Milk, Eggs, Butter, Diapers, Beer"
520,"Milk, Chips, Butter"
521,"Diapers, Chips"
522,"Milk, Eggs, Cheese"
523,"Diapers, Chips"
524,"Beer, Milk, Butter"
525,"Eggs, Butter"
526,"Beer, Bread, Butter"
527,"Milk, Biscuits, Eggs, Diapers, Chips, Beer"
528,"Beer, Butter"
529,"Milk, Biscuits, Butter, Diapers, Beer"
530,"Jam, Beer"
531,"Cheese, Beer, Milk, Butter"
532,"Jam, Biscuits, Eggs, Butter"
533,"Milk, Bread"
534,"Diapers, Bread, Eggs, Cheese"
535,"Bread, Milk, Biscuits, Butter, Diapers, Chips, Beer"
536,"Bread, Butter"
537,"Bread, Beer"
538,"Milk, Butter"
539,"Biscuits, Bread, Chips, Diapers"
540,"Milk, Jam, Butter"
541,"Bread, Milk, Biscuits, Eggs, Chips"
542,"Biscuits, Diapers, Beer, Cheese"
543,"Milk, Eggs, Cheese"
544,"Bread, Milk, Eggs, Butter"
545,"Bread, Milk"
546,"Chips, Jam, Cheese"
547,"Beer, Bread, Milk, Butter"
548,"Jam, Bread, Eggs, Butter"
549,"Bread, Milk"
550,"Bread, Eggs"
551,"Beer, Diapers, Butter"
552,"Milk, Biscuits, Eggs, Diapers, Beer"
553,"Biscuits, Diapers"
554,"Bread, Chips, Eggs, Butter"
555,"Biscuits, Jam"
556,"Milk, Chips, Diapers, Cheese"
557,"Bread, Milk, Butter"
558,"Chips, Eggs"
559,"Biscuits, Jam, Eggs, Butter, Chips"
560,"Biscuits, Bread, Beer"
561,"Milk, Chips, Beer"
562,"Milk, Butter"
563,"Bread, Milk, Biscuits, Cheese, Chips"
564,"Bread, Eggs"
565,"Bread, Chips, Milk, Beer"
566,Eggs
567,"Biscuits, Beer"
568,"Bread, Milk, Jam, Butter"
569,"Bread, Milk, Biscuits, Cheese, Butter"
570,"Cheese, Beer, Milk, Butter"
571,"Milk, Jam, Butter, Cheese, Diapers, Beer"
572,"Biscuits, Chips, Eggs"
573,"Bread, Eggs"
574,"Biscuits, Bread, Eggs, Butter"
575,"Biscuits, Chips, Butter"
576,"Beer, Bread, Diapers, Butter"
577,"Bread, Milk, Eggs, Jam, Diapers, Beer"
578,"Bread, Milk, Jam, Butter, Diapers, Beer"
579,"Biscuits, Chips, Beer"
580,"Biscuits, Diapers, Beer"
581,"Bread, Chips, Beer"
582,"Diapers, Bread, Eggs, Beer"
583,"Bread, Cheese"
584,"Beer, Diapers, Chips, Butter"
585,"Milk, Diapers"
586,"Bread, Milk, Biscuits, Butter, Beer"
587,"Milk, Butter"
588,"Biscuits, Milk, Eggs"
589,Butter
590,Butter
591,"Cheese, Jam, Butter"
592,"Biscuits, Chips, Eggs, Butter"
593,"Cheese, Eggs, Butter"
594,"Diapers, Eggs"
595,"Milk, Chips, Butter"
596,Jam
597,"Biscuits, Milk"
598,"Jam, Butter"
599,"Milk, Beer"
600,"Jam, Butter"
601,"Biscuits, Milk"
602,"Biscuits, Chips"
603,"Biscuits, Eggs, Butter, Diapers, Beer"
604,"Milk, Chips"
605,"Cheese, Bread, Milk, Beer"
606,"Chips, Jam"
607,"Milk, Eggs"
608,"Bread, Biscuits, Eggs, Jam, Cheese, Butter, Diapers, Beer"
609,"Cheese, Bread, Butter"
610,"Cheese, Beer, Biscuits, Butter"
611,"Biscuits, Bread, Eggs, Butter"
612,"Beer, Bread, Diapers, Butter"
613,"Milk, Jam, Butter"
614,"Bread, Milk, Cheese"
615,"Bread, Milk, Biscuits, Jam, Butter, Diapers, Beer"
616,"Milk, Chips, Cheese"
617,"Jam, Butter"
618,"Jam, Beer"
619,"Diapers, Milk, Eggs, Beer"
620,"Bread, Diapers, Butter"
621,Beer
622,"Cheese, Butter"
623,"Beer, Bread, Milk, Butter"
624,"Biscuits, Diapers, Beer"
625,"Bread, Eggs, Butter"
626,"Bread, Milk"
627,"Bread, Eggs"
628,"Milk, Chips, Eggs"
629,"Bread, Milk, Biscuits, Butter, Cheese"
630,"Biscuits, Chips, Eggs, Beer"
631,"Chips, Eggs, Butter"
632,"Bread, Milk, Butter, Diapers, Beer"
633,"Biscuits, Bread, Eggs, Butter"
634,"Cheese, Milk, Butter"
635,"Milk, Butter"
636,"Bread, Milk, Biscuits, Jam, Butter, Chips"
637,"Biscuits, Chips"
638,"Milk, Eggs"
639,"Milk, Chips, Butter"
640,"Milk, Biscuits, Eggs, Chips, Beer"
641,"Cheese, Bread, Eggs, Jam"
642,"Bread, Milk, Biscuits, Jam, Butter"
643,"Bread, Eggs, Butter, Jam"
644,"Bread, Milk, Butter"
645,"Bread, Butter"
646,"Bread, Milk, Eggs, Cheese, Diapers, Beer"
647,"Bread, Milk, Eggs, Beer"
648,"Beer, Bread, Diapers, Butter"
649,"Bread, Milk, Butter"
650,"Biscuits, Milk, Eggs, Beer"
651,Milk
652,"Bread, Chips, Milk, Butter"
653,"Beer, Bread, Diapers, Butter"
654,"Jam, Eggs, Butter"
655,"Beer, Milk, Diapers, Butter"
656,"Biscuits, Bread, Eggs, Butter"
657,Cheese
658,"Bread, Eggs"
659,"Milk, Chips, Cheese"
660,"Cheese, Beer"
661,"Biscuits, Jam, Diapers, Chips, Beer"
662,"Diapers, Bread, Eggs, Beer"
663,"Cheese, Eggs, Jam"
664,"Bread, Cheese, Diapers, Chips, Beer"
665,"Bread, Chips, Eggs, Butter"
666,"Beer, Butter"
667,"Cheese, Bread, Butter"
668,"Diapers, Eggs, Beer"
669,"Bread, Milk, Butter"
670,"Biscuits, Jam"
671,"Biscuits, Bread, Milk, Beer"
672,"Biscuits, Bread"
673,"Eggs, Beer"
674,"Bread, Eggs, Butter, Diapers, Beer"
675,"Biscuits, Butter"
676,"Bread, Biscuits, Cheese, Diapers, Beer"
677,"Milk, Cheese"
678,"Bread, Milk"
679,"Cheese, Bread, Biscuits, Butter"
680,"Bread, Milk, Jam, Butter"
681,"Milk, Diapers"
682,"Cheese, Milk, Eggs, Beer"
683,"Beer, Milk, Butter"
684,"Cheese, Bread, Milk, Beer"
685,"Bread, Chips, Diapers, Butter"
686,"Milk, Diapers"
687,"Chips, Eggs"
688,"Beer, Butter"
689,"Biscuits, Jam"
690,"Jam, Chips, Eggs, Butter"
691,"Milk, Chips"
692,"Cheese, Milk, Eggs, Butter"
693,"Biscuits, Bread, Eggs, Beer"
694,"Milk, Diapers, Beer"
695,"Bread, Biscuits, Butter, Cheese, Chips"
696,"Bread, Milk, Eggs, Jam, Butter, Beer"
697,"Bread, Eggs, Butter"
698,"Bread, Milk, Butter"
699,"Bread, Chips, Eggs, Butter"
700,"Bread, Butter"
701,"Bread, Butter, Cheese, Diapers, Beer"
702,"Biscuits, Bread, Butter"
703,"Milk, Eggs, Beer"
704,"Bread, Jam, Cheese"
705,"Biscuits, Jam"
706,"Bread, Eggs, Butter"
707,"Bread, Jam"
708,"Bread, Milk, Eggs, Cheese, Chips, Beer"
709,"Milk, Diapers, Beer"
710,"Bread, Butter, Cheese, Chips, Beer"
711,"Biscuits, Butter"
712,"Bread, Milk, Butter"
713,"Biscuits, Butter"
714,"Butter, Cheese, Diapers, Chips, Beer"
715,"Bread, Biscuits, Eggs, Butter, Chips"
716,"Butter, Cheese"
717,"Biscuits, Eggs"
718,"Jam, Beer"
719,"Cheese, Biscuits, Butter"
720,Chips
721,"Bread, Biscuits, Eggs, Butter, Cheese"
722,"Bread, Chips, Eggs"
723,"Bread, Biscuits, Jam, Butter, Cheese"
724,"Beer, Milk, Butter"
725,"Bread, Diapers, Butter, Jam"
726,"Milk, Butter"
727,"Bread, Cheese"
728,"Biscuits, Diapers, Eggs, Beer"
729,"Cheese, Beer, Biscuits, Butter"
730,"Bread, Milk, Biscuits, Butter, Diapers, Beer"
731,"Bread, Eggs, Butter"
732,"Biscuits, Jam, Cheese"
733,"Biscuits, Butter"
734,"Jam, Beer"
735,"Bread, Biscuits, Cheese, Chips, Beer"
736,"Bread, Milk, Eggs, Cheese, Beer"
737,"Biscuits, Diapers, Beer"
738,"Bread, Diapers, Beer"
739,"Bread, Milk, Jam, Butter, Chips"
740,"Biscuits, Diapers, Chips, Beer"
741,"Biscuits, Milk, Eggs"
742,"Milk, Beer"
743,"Biscuits, Bread, Milk, Beer"
744,"Bread, Cheese, Eggs, Butter, Chips"
745,"Bread, Milk, Butter, Beer"
746,"Chips, Eggs, Cheese"
747,"Biscuits, Bread, Butter"
748,"Bread, Eggs, Butter, Chips, Beer"
749,"Diapers, Bread, Eggs, Beer"
750,"Eggs, Cheese"
751,"Bread, Milk, Biscuits, Jam, Chips"
752,"Bread, Milk, Biscuits, Cheese, Diapers, Beer"
753,"Cheese, Bread, Butter"
754,"Diapers, Bread, Eggs, Butter"
755,"Biscuits, Chips, Eggs"
756,"Bread, Beer"
757,"Biscuits, Milk, Eggs"
758,"Eggs, Jam"
759,"Bread, Milk, Butter, Diapers, Chips, Beer"
760,"Biscuits, Bread, Milk, Butter"
761,"Milk, Chips, Eggs"
